Wavelength,AbsorptionCoeff
880.671,1.713954238
881.327,1.789001454
881.983,1.865823604
882.64,1.946405217
883.296,2.028384534
883.952,2.114978475
884.609,2.204101309
885.265,2.299334051
885.921,2.401048376
886.578,2.50943318
887.234,2.621888203
887.89,2.734762359
888.547,2.849742622
889.203,2.968217973
889.86,3.090219897
890.516,3.214005111
891.173,3.33702019
891.829,3.460918606
892.485,3.582044501
893.142,3.697189781
893.798,3.803111673
894.455,3.902571471
895.112,3.998815083
895.768,4.090728454
896.425,4.179614704
897.081,4.266616663
897.738,4.352293533
898.394,4.434686065
899.051,4.513029554
899.708,4.594599281
900.364,4.680207424
901.021,4.769597365
901.677,4.863265885
902.334,4.964978802
902.991,5.076651937
903.647,5.195777266
904.304,5.322273515
904.961,5.463691902
905.618,5.618606673
906.274,5.790225924
906.931,5.97355734
907.588,6.175119117
908.245,6.392993703
908.901,6.626123599
909.558,6.87294344
910.215,7.127460485
910.872,7.387695285
911.529,7.649254373
912.186,7.912530296
912.842,8.173782036
913.499,8.429555156
914.156,8.680612514
914.813,8.928248622
915.47,9.166885645
916.127,9.396154132
916.784,9.613931429
917.441,9.827463244
918.098,10.03571847
918.755,10.24772652
919.412,10.46162018
920.069,10.68162244
920.726,10.90260763
921.383,11.12723322
922.04,11.35243913
922.697,11.57574029
923.354,11.79462754
924.011,12.00919794
924.668,12.22033866
925.325,12.41902539
925.982,12.60109472
926.64,12.75586376
927.297,12.88966048
927.954,12.99254726
928.611,13.06690259
929.268,13.10464613
929.925,13.10530052
930.583,13.06432458
931.24,12.98178297
931.897,12.85766684
932.554,12.68792793
933.212,12.4791835
933.869,12.23918414
934.526,11.97580058
935.183,11.67898389
935.841,11.34994577
936.498,10.98925132
937.155,10.61095337
937.813,10.20970122
938.47,9.787715738
939.127,9.346323731
939.785,8.897138684
940.442,8.458610037
941.1,8.023217013
941.757,7.597505253
942.414,7.179809972
943.072,6.780381495
943.729,6.397383507
944.387,6.030694078
945.044,5.683103307
945.702,5.362980104
946.359,5.061820983
947.017,4.796323403
947.674,4.555623476
948.332,4.332427437
948.989,4.113256615
949.647,3.898910291
950.305,3.709018906
950.962,3.529059872
951.62,3.362379061
952.277,3.202930019
952.935,3.059632434
953.593,2.928707929
954.25,2.802696986
954.908,2.68227192
955.566,2.568541679
956.223,2.464071312
956.881,2.373016183
957.539,2.293066059
958.196,2.217731493
958.854,2.148235944
959.512,2.083370537
960.17,2.030875131
960.828,1.985607369
961.485,1.943420079
962.143,1.909469564
962.801,1.871214431
963.459,1.839680902
964.117,1.802140595
964.775,1.766659677
965.432,1.726378564
966.09,1.688395874
966.748,1.65177758
967.406,1.618867993
968.064,1.587404497
968.722,1.562202411
969.38,1.544392782
970.038,1.527841653
970.696,1.516209779
971.354,1.501157211
972.012,1.491118931
972.67,1.474344207
973.328,1.454101325
973.986,1.432045374
974.644,1.415749172
975.302,1.410046075
975.96,1.408777345
976.618,1.411666477
977.276,1.415062262
977.934,1.421464084
978.592,1.426208228
979.251,1.426414119
979.909,1.41853704
980.567,1.408268664
981.225,1.403390668
981.883,1.404688935
982.541,1.412158316
983.2,1.419117062
983.858,1.436298542
984.516,1.460055896
985.174,1.490622573
985.833,1.518225279
986.491,1.542887824
987.149,1.57057822
987.807,1.598457174
988.466,1.628058355
989.124,1.659962293
989.782,1.699518243
990.441,1.749461806
